city,ticker,floor_strike,target_date,end_period_ts,open_dollars,high_dollars,low_dollars,close_dollars,yes_bid_close,yes_ask_close,volume,fetched_at_utc
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543260,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543380,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543500,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543560,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543620,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543680,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543740,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543800,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543860,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543920,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786543980,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786544040,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786544160,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786544280,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786544460,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786544580,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786544760,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786544820,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786544940,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786545060,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786545120,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786545300,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786545360,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786545420,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786545720,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786545840,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786545900,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786546020,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786546320,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786546620,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786546800,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786546920,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786547220,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786547460,,,,,,,,2026-08-13T14:25:03.869413+00:00
seattle,KXHIGHTSEA-26AUG13-B84.5,84.0,2026-08-14,1786547520,,,,,,,,2026-08-13T14:25:03.869413+00:00
