city,ticker,floor_strike,target_date,end_period_ts,open_dollars,high_dollars,low_dollars,close_dollars,yes_bid_close,yes_ask_close,volume,fetched_at_utc
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785765660,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785765780,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785765840,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785765900,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785765960,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766020,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766140,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766200,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766260,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766500,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766560,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766740,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766800,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766860,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766920,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785766980,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767040,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767100,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767400,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767460,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767520,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767580,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767640,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767700,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767760,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767880,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785767940,,,,,,,,2026-08-05T16:14:33.968007+00:00
miami,KXHIGHMIA-26AUG04-B92.5,92.0,2026-08-04,1785768000,,,,,,,,2026-08-05T16:14:33.968007+00:00
