city,ticker,floor_strike,target_date,end_period_ts,open_dollars,high_dollars,low_dollars,close_dollars,yes_bid_close,yes_ask_close,volume,fetched_at_utc
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938460,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938520,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938580,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938640,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938700,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938760,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938820,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938880,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785938940,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939000,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939060,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939120,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939180,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939240,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939300,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939360,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939420,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939480,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939540,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939600,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939660,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939720,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939780,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939840,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939900,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785939960,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940020,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940080,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940140,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940200,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940260,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940320,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940380,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940440,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940500,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940560,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940620,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940680,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940740,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940800,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940860,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940920,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785940980,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941040,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941100,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941160,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941400,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941460,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941520,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941580,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941700,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941760,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941820,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941880,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785941940,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942000,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942060,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942120,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942180,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942240,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942300,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942360,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942420,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942480,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942540,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942600,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942660,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942720,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942780,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942840,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942900,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785942960,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943020,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943080,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943140,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943200,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943320,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943440,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943500,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943800,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943860,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785943920,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944160,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944220,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944280,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944340,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944400,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944460,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944520,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944580,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944640,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944700,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944760,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944820,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944880,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785944940,,,,,,,,2026-08-05T16:14:17.607938+00:00
austin,KXHIGHAUS-26AUG06-B98.5,98.0,2026-08-06,1785945000,,,,,,,,2026-08-05T16:14:17.607938+00:00
