ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early,fetched_at_utc
KXHIGHTSFO-26SEP04-T73,active,,0.03,0.04,190.01,1.03,0.96,0.97,0.03,0.0,161.22,161.22,145.28,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.429049Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP04-T66,active,,0.01,0.02,1.0,129.04,0.98,0.99,0.01,0.0,305.58,305.58,292.5,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.429049Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP04-B72.5,active,,0.21,0.22,130.0,74.0,0.78,0.79,0.22,0.0,1560.94,1560.94,1375.93,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.429049Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP04-B70.5,active,,0.48,0.49,13.0,47.0,0.51,0.52,0.46,0.0,1019.8,1019.8,880.8,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.429049Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP04-B68.5,active,,0.23,0.24,21.01,2.0,0.76,0.77,0.23,0.0,940.69,940.69,811.0,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.429049Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP04-B66.5,active,,0.05,0.07,3.01,0.98,0.93,0.95,0.07,0.0,303.65,303.65,294.76,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.429049Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP03-T73,active,,0.0,0.01,0.0,5275.58,0.99,1.0,0.01,0.18,13300.57,11849.31,8499.11,0.0,,,,,0.18,0.2,2026-09-02T14:00:01.413636Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP03-T66,active,,0.0,0.01,0.0,70082.96,0.99,1.0,0.01,0.01,1127.19,597.92,1032.64,0.0,,,,,0.01,0.03,2026-09-02T14:00:01.413636Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP03-B72.5,active,,0.99,1.0,14641.58,0.0,0.0,0.01,0.99,0.39,7832.06,6619.45,5043.3,0.0,,,,,0.39,0.4,2026-09-02T14:00:01.413636Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP03-B70.5,active,,0.0,0.01,0.0,63153.11,0.99,1.0,0.01,0.3,10455.91,10197.2,5455.17,0.0,,,,,0.29,0.31,2026-09-02T14:00:01.413636Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP03-B68.5,active,,0.0,0.01,0.0,75981.09,0.99,1.0,0.01,0.15,6245.01,5069.58,4273.75,0.0,,,,,0.12,0.14,2026-09-02T14:00:01.413636Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP03-B66.5,active,,0.0,0.01,0.0,69925.61,0.99,1.0,0.01,0.03,1305.62,935.39,1123.58,0.0,,,,,0.03,0.05,2026-09-02T14:00:01.413636Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHTSFO-26SEP02-T74,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,12083.82,0.0,7645.2,0.0,73.00,73.0,2026-09-03T14:13:25.033739Z,0.0,0.0,0.01,2026-09-03T14:13:25.047856Z,2026-09-03T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
