city,fetched_at_utc,datetime_local,datetime_utc,temp_c,precip_prob_pct
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T00:00,2026-09-17T04:00:00+00:00,21.4,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T01:00,2026-09-17T05:00:00+00:00,21.1,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T02:00,2026-09-17T06:00:00+00:00,20.6,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T03:00,2026-09-17T07:00:00+00:00,20.3,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T04:00,2026-09-17T08:00:00+00:00,20.0,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T05:00,2026-09-17T09:00:00+00:00,19.6,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T06:00,2026-09-17T10:00:00+00:00,19.3,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T07:00,2026-09-17T11:00:00+00:00,19.1,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T08:00,2026-09-17T12:00:00+00:00,20.8,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T09:00,2026-09-17T13:00:00+00:00,22.7,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T10:00,2026-09-17T14:00:00+00:00,24.4,5
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T11:00,2026-09-17T15:00:00+00:00,25.8,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T12:00,2026-09-17T16:00:00+00:00,27.4,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T13:00,2026-09-17T17:00:00+00:00,28.4,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T14:00,2026-09-17T18:00:00+00:00,28.8,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T15:00,2026-09-17T19:00:00+00:00,28.4,3
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T16:00,2026-09-17T20:00:00+00:00,27.5,3
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T17:00,2026-09-17T21:00:00+00:00,26.8,4
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T18:00,2026-09-17T22:00:00+00:00,25.8,9
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T19:00,2026-09-17T23:00:00+00:00,24.4,5
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T20:00,2026-09-18T00:00:00+00:00,23.7,5
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T21:00,2026-09-18T01:00:00+00:00,23.5,8
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T22:00,2026-09-18T02:00:00+00:00,23.7,9
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-17T23:00,2026-09-18T03:00:00+00:00,22.0,26
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T00:00,2026-09-18T04:00:00+00:00,21.7,28
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T01:00,2026-09-18T05:00:00+00:00,22.0,14
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T02:00,2026-09-18T06:00:00+00:00,22.3,21
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T03:00,2026-09-18T07:00:00+00:00,22.4,5
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T04:00,2026-09-18T08:00:00+00:00,21.0,3
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T05:00,2026-09-18T09:00:00+00:00,20.4,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T06:00,2026-09-18T10:00:00+00:00,20.0,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T07:00,2026-09-18T11:00:00+00:00,19.5,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T08:00,2026-09-18T12:00:00+00:00,20.8,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T09:00,2026-09-18T13:00:00+00:00,21.1,1
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T10:00,2026-09-18T14:00:00+00:00,21.9,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T11:00,2026-09-18T15:00:00+00:00,22.8,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T12:00,2026-09-18T16:00:00+00:00,24.0,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T13:00,2026-09-18T17:00:00+00:00,25.1,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T14:00,2026-09-18T18:00:00+00:00,25.8,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T15:00,2026-09-18T19:00:00+00:00,26.1,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T16:00,2026-09-18T20:00:00+00:00,26.1,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T17:00,2026-09-18T21:00:00+00:00,25.9,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T18:00,2026-09-18T22:00:00+00:00,25.5,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T19:00,2026-09-18T23:00:00+00:00,24.3,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T20:00,2026-09-19T00:00:00+00:00,23.7,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T21:00,2026-09-19T01:00:00+00:00,23.6,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T22:00,2026-09-19T02:00:00+00:00,22.8,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-18T23:00,2026-09-19T03:00:00+00:00,21.8,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T00:00,2026-09-19T04:00:00+00:00,20.5,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T01:00,2026-09-19T05:00:00+00:00,19.9,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T02:00,2026-09-19T06:00:00+00:00,19.2,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T03:00,2026-09-19T07:00:00+00:00,18.4,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T04:00,2026-09-19T08:00:00+00:00,17.8,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T05:00,2026-09-19T09:00:00+00:00,17.4,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T06:00,2026-09-19T10:00:00+00:00,16.9,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T07:00,2026-09-19T11:00:00+00:00,16.2,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T08:00,2026-09-19T12:00:00+00:00,16.2,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T09:00,2026-09-19T13:00:00+00:00,16.6,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T10:00,2026-09-19T14:00:00+00:00,17.2,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T11:00,2026-09-19T15:00:00+00:00,18.2,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T12:00,2026-09-19T16:00:00+00:00,19.1,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T13:00,2026-09-19T17:00:00+00:00,19.7,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T14:00,2026-09-19T18:00:00+00:00,20.1,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T15:00,2026-09-19T19:00:00+00:00,20.4,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T16:00,2026-09-19T20:00:00+00:00,20.6,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T17:00,2026-09-19T21:00:00+00:00,20.6,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T18:00,2026-09-19T22:00:00+00:00,20.2,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T19:00,2026-09-19T23:00:00+00:00,19.1,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T20:00,2026-09-20T00:00:00+00:00,18.6,0
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T21:00,2026-09-20T01:00:00+00:00,18.3,2
New York City,2026-09-17T04:58:08.902207+00:00,2026-09-19T22:00,2026-09-20T02:00:00+00:00,18.0,2
