fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-09-04T04:26:38.969295+00:00,New York City,0x898990c74b500d17144653039dfc3817ef542391e454f273769bfdec46f4643a,Will the lowest temperature in New York City be 63°F or below on September 3?,True,False,2026-09-03,2026-09-01,1387.341821,755.4852859999999,913.7238,,1788495450700,,0.991,0.009,,311.96,0.0,0.098811,,"{""Yes"": 0.0045, ""No"": 0.9955}","[""95886868377519521304786766610655073378194921511293220795407034487068234490675"", ""72949962925212331398188408425860088220454738120300791914267379798538610664708""]"
2026-09-04T04:26:38.969326+00:00,New York City,0xb264f7ecdf2fbbacc6e648a23159abb6f89a2e756bdbefd76753d3312f54d048,Will the lowest temperature in New York City be between 64-65°F on September 3?,True,False,2026-09-03,2026-09-01,1206.3346,727.0788,743.41266,,1788494866884,,0.964,0.036,,191.07,0.0,0.119091,,"{""Yes"": 0.018, ""No"": 0.982}","[""71786947214783233322884890438444348250973011217631988798241426339601728034217"", ""20036283468188435356904956316844192437896362986104845281499127254806033308878""]"
2026-09-04T04:26:38.969337+00:00,New York City,0xcb4b256f6ef6ea2762167e3eea3f5fa366d48adc6dac5a34458c4c403a31bbe4,Will the lowest temperature in New York City be between 66-67°F on September 3?,True,False,2026-09-03,2026-09-01,1052.899528,654.436516,531.28208,,1788496507865,0.001,0.906,0.094,0.999,346.36,3.88,0.117039,,"{""Yes"": 0.051, ""No"": 0.949}","[""108079362186861517823128214355816577907386800826997039062964234686323960458757"", ""32570808047779393797451607841968050783430930251855595372999337761163418521602""]"
2026-09-04T04:26:38.969350+00:00,New York City,0xa9b29f8c0a9973d04679a792d7128f653f1bb73b1191d5e8a7b2679a1c19c9cb,Will the lowest temperature in New York City be between 68-69°F on September 3?,True,False,2026-09-03,2026-09-01,3557.1270640000002,3004.1011099999996,468.3583,,1788496510693,0.95,,,0.05,0.0,678.9,,0.173531,"{""Yes"": 0.975, ""No"": 0.025}","[""88287731330961809418983677206822943875734832387743183121714132869896674367699"", ""36653556845123020345706066686695630829174004999138553933047367926885987445160""]"
2026-09-04T04:26:38.969361+00:00,New York City,0xf2d776d15de45c15834318e9e2f82d387bab889248b010ea81d01479b1c0d0de,Will the lowest temperature in New York City be between 70-71°F on September 3?,True,False,2026-09-03,2026-09-01,36455.802835,36101.333666,4673.9838,,1788494866876,,0.999,0.001,,294.66,0.0,0.020959,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""105230631884876537512511667582713373232301192212428219096679369434844982817820"", ""12294451991209112146219070836998817258780232665889597259655534416791841473906""]"
2026-09-04T04:26:38.969371+00:00,New York City,0x1d56ad155cf2d6102f2f2aa1ea3ad09c9b5f0c31ab2aa4c6ae0c02991cdb0b9f,Will the lowest temperature in New York City be between 72-73°F on September 3?,True,False,2026-09-03,2026-09-01,788.259772,156.795,3538.97705,,1788494708490,,0.999,0.001,,232.99,0.0,0.02852,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""53740710982800244793266052632639800003571181466663591588388529284481164023290"", ""112241740715003282460470095053688370354255554788200635805222039727436263712418""]"
2026-09-04T04:26:38.969381+00:00,New York City,0xa9e5f1f14cd56bf79f75c78a14d8f90697b146bae397fea2279c0d56d833c60e,Will the lowest temperature in New York City be between 74-75°F on September 3?,True,False,2026-09-03,2026-09-01,712.16521,313.22111,2017.48364,,1788494866884,,0.999,0.001,,321.46,0.0,0.047266,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""48786547593496751966866206169913143615942644741386502538423080246707864961997"", ""114944539864513626449466876358624434296568026038719924235695630337791429613822""]"
2026-09-04T04:26:38.969390+00:00,New York City,0x748c3ceaaff82ecebd539d01a7fe741f8dcf2869e45a29853524ec03e17450e2,Will the lowest temperature in New York City be between 76-77°F on September 3?,True,False,2026-09-03,2026-09-01,47.0,35.0,2823.14065,,1788496216890,,0.999,0.001,,272.38,0.0,0.034205,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""92297860956196962317262179599821303647436196058294158477780160914244913907392"", ""92357787694783726969593106465018820675221225122652636797382025313397394612071""]"
2026-09-04T04:26:38.969398+00:00,New York City,0xf050c0afa4623ce67ff9781f539ab900d9156827c3b22d4bbafca1a84f737809,Will the lowest temperature in New York City be between 78-79°F on September 3?,True,False,2026-09-03,2026-09-01,212.0,178.0,3076.64865,,1788495720696,,0.999,0.001,,326.79,0.0,0.031914,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""73316335287552685449247682767604033161341058257082078246398688334263898596575"", ""46354446766308520903255124234635853177974146671954522953203859391000012851430""]"
2026-09-04T04:26:38.969407+00:00,New York City,0xf6c452df2264b1bd7e5a38a558ccb6deaccfac8f7c4c8693b57c8894e9b87dcd,Will the lowest temperature in New York City be between 80-81°F on September 3?,True,False,2026-09-03,2026-09-01,200.0,178.0,3279.94105,,1788494866875,,0.999,0.001,,320.1,0.0,0.029602,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""58613677302997837339508713967003030647631891916987231172588157808969538259023"", ""57800917017902248390642019522081495041375050100346595595107367253270813710393""]"
2026-09-04T04:26:38.969415+00:00,New York City,0x607da0e7db099ef2edbdb775d596f03084b303ccaf455e763cb8de91118ce620,Will the lowest temperature in New York City be 82°F or higher on September 3?,True,False,2026-09-03,2026-09-01,200.0,178.0,2868.83645,,1788495170696,,0.999,0.001,,109.37,0.0,0.033683,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""1140591104391940370568492202876078212938430297068060236959309186698042865069"", ""13083015935610398857732968243457577532299589718321152793435003298894423379794""]"
2026-09-04T04:26:38.969425+00:00,New York City,0xc9e74d215ac0b14f948fdf4035a53455f75335628197b1a6377562492f8e26f2,Will the highest temperature in New York City be 75°F or below on September 3?,True,False,2026-09-03,2026-09-01,3081.1302939999996,2602.197493999999,14993.97675,,1788495488000,,0.999,0.001,,3447.0,0.0,0.006641,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""114464030397126290993671074277851769299960781603679260933527562345054619960075"", ""74529214641369749496220102733936473304268652253526556583867644064679808666062""]"
2026-09-04T04:26:38.969434+00:00,New York City,0x312c0149293a2ad0ba0aec71de97bb08146abe642e133aba165b2b08321e648e,Will the highest temperature in New York City be between 76-77°F on September 3?,True,False,2026-09-03,2026-09-01,3691.2254890000004,2402.7445299999986,15322.03054,,1788494708434,,0.999,0.001,,3415.82,0.0,0.006504,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""113265882243041053249788020344647355480258288174725621312425078025562070271246"", ""2963801632532839501095347901591294065755958881018073451158217695312168846552""]"
2026-09-04T04:26:38.969444+00:00,New York City,0xc8e2861c32fc12c3d2f3482e015c1ce3213cdca433f324f90bc6d75f629e0285,Will the highest temperature in New York City be between 78-79°F on September 3?,True,False,2026-09-03,2026-09-01,3140.677907999999,2546.173482000004,11261.6615,,1788495244323,,0.999,0.001,,3828.51,0.0,0.00897,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""24803772880616540454217078744045149479946735834366855183666881068145776348868"", ""17283669023001768934942718415975990316321419785499729500381126290320182040832""]"
2026-09-04T04:26:38.969454+00:00,New York City,0xd76095d53f0922dae1b42689843bd404e4acc61bb66bcb1bd14ea013e92ff586,Will the highest temperature in New York City be between 80-81°F on September 3?,True,False,2026-09-03,2026-09-01,4122.073216,2965.1049089999997,8730.70484,,1788495244326,,0.999,0.001,,3401.97,0.0,0.011378,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""30181800957867902924793460291230863855259490020672641303107278377287945249928"", ""75129332914456195476425372727013216317011466359454480684971142491086678259162""]"
2026-09-04T04:26:38.969462+00:00,New York City,0x3bf9a415eeb195691e5654d66893943687bdd9491fa768329f5e64893b62b20e,Will the highest temperature in New York City be between 82-83°F on September 3?,True,False,2026-09-03,2026-09-01,6066.765906,4423.476871,9366.36795,,1788495244335,,0.999,0.001,,3512.1,0.0,0.010618,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""2942533922294082594364528302800273140293334813544619095226442070604278728251"", ""80442392103604251715747251670294079497989485157199828209273404780355108420421""]"
2026-09-04T04:26:38.969472+00:00,New York City,0x4191c4a73ac18ab17d210709fba4bda4dd491ae8cf77296fa43d15b0d52d34a8,Will the highest temperature in New York City be between 84-85°F on September 3?,True,False,2026-09-03,2026-09-01,6271.206126000004,5151.126318,17035.90602,,1788495494474,,0.999,0.001,,3721.37,0.0,0.005908,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""99083004407165130558288700755565370899884639987921895383987857289756355409557"", ""9202838695027945988643447100205395862765028294094902863465797195076952535426""]"
2026-09-04T04:26:38.969481+00:00,New York City,0x76103d70de530db64a342244766ace3dbd344da2c8e82c10515c37b21c178bc2,Will the highest temperature in New York City be between 86-87°F on September 3?,True,False,2026-09-03,2026-09-01,10518.950047000002,8361.180348,6258.09682,,1788496474470,0.999,,,0.001,0.0,1036.0,,0.015788,"{""Yes"": 0.9995, ""No"": 0.0005}","[""108151064729212017337468351314516280113084599699244339364861784492143664805834"", ""101730803906944429914331453199817048961578786651667334222299308275697824259402""]"
2026-09-04T04:26:38.969490+00:00,New York City,0x2fa4e047be5dcdd62ff1f2b08a6a37da9f0940392cfb258c019cf9ed46effa71,Will the highest temperature in New York City be between 88-89°F on September 3?,True,False,2026-09-03,2026-09-01,6218.260377999999,5312.690853000002,7350.97645,,1788495709000,,0.999,0.001,,3320.26,0.0,0.013451,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""20503298618911467123503944106779561326461542916206165850887610065217145376332"", ""13544200156116292485873296010939628624176135761651885686773244111398029969324""]"
2026-09-04T04:26:38.969499+00:00,New York City,0x3651ce0183b9686a43de0562c332990f6dc8c733763b8c8d3cdb46c612c78769,Will the highest temperature in New York City be between 90-91°F on September 3?,True,False,2026-09-03,2026-09-01,4982.137124000001,4512.138897000001,6389.40019,,1788495244315,,0.999,0.001,,3369.28,0.0,0.01544,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""100477728986860804047379147296562016467504005615621994752190839368188680673539"", ""7865151602613156511353706073618353100625781747463286322491639375044338663186""]"
2026-09-04T04:26:38.969508+00:00,New York City,0x17fe73289dcde53875dd64d1da4dd4eb40d7e0dfc7870a764913b9ed8375ff36,Will the highest temperature in New York City be between 92-93°F on September 3?,True,False,2026-09-03,2026-09-01,1830.265892,1570.790026,4240.59176,,1788495714475,,0.999,0.001,,3268.44,0.0,0.023108,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""68215975305776795346456106989107133201990538257078311491652480323861652497037"", ""73561695795189041539639528565744867402654899170937675672426628294723000667429""]"
2026-09-04T04:26:38.969517+00:00,New York City,0xea55be87baf2d1fd00bad332c5650f70022ba98441addc392edb769dd0bb47a1,Will the highest temperature in New York City be 94°F or higher on September 3?,True,False,2026-09-03,2026-09-01,626.4965440000001,117.52,4092.59814,,1788494708434,,0.999,0.001,,3261.08,0.0,0.023921,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""97916361585045504781392809026844920487192191937217408265126958890350602979905"", ""109443994330274338791490115944827863017011397085181075226741497852164527824806""]"
2026-09-04T04:26:38.969527+00:00,New York City,0x1218fadb6e1a5dffefc1e5a2109fa823f0ff4c56bed092be5206effb234b4246,Will the lowest temperature in New York City be 63°F or below on September 4?,True,False,2026-09-04,2026-09-02,411.775181,411.775181,766.56367,,1788496502125,0.001,0.995,0.005,0.999,91.85,55.11,,,"{""Yes"": 0.003, ""No"": 0.997}","[""77853596037777749479774029565206824007126519204059118315626005853182687428270"", ""77930193647682218869393014745171636297367775326416494586065089178318423198027""]"
2026-09-04T04:26:38.969536+00:00,New York City,0x0816d7c08da3cbc6744ddae77741784e9065f32456ee8e86526989c9d223f896,Will the lowest temperature in New York City be between 64-65°F on September 4?,True,False,2026-09-04,2026-09-02,145.0,145.0,956.92389,,1788496505448,,0.999,0.001,,537.37,0.0,0.101556,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""85733415134953150388938962945733593272830555272447443343760689574177417474359"", ""9004060719063164696730934081662036939701968819625854516398335930857199896039""]"
2026-09-04T04:26:38.969545+00:00,New York City,0x67a5aa0bd319627b63b6df7a1bfbd524c5c6210bb7e816921a6017006d5349d3,Will the lowest temperature in New York City be between 66-67°F on September 4?,True,False,2026-09-04,2026-09-02,70.21000000000001,70.21000000000001,443.26977,,1788496502128,0.002,0.995,0.005,0.998,518.45,114.62,0.330361,0.998203,"{""Yes"": 0.0035, ""No"": 0.9965}","[""42028106449078471770441255436181544205033191443393390579344859426011819812191"", ""40547424604499925413148210781790511637407272496342627280651927795528269456224""]"
2026-09-04T04:26:38.969554+00:00,New York City,0x0e1a7ad09e89dd523310d6da2d956d0b7175e4b1a70005d855fa032ba015b00f,Will the lowest temperature in New York City be between 68-69°F on September 4?,True,False,2026-09-04,2026-09-02,95.20016600000001,95.20016600000001,194.8211,,1788496502130,0.01,0.98,0.02,0.99,625.66,313.74,0.373578,0.99,"{""Yes"": 0.015, ""No"": 0.985}","[""91036086938282292615147032821603303929538748833610033304261064198820008731555"", ""79222072304327167332931982187328863732774316326277024124477109345521389905003""]"
2026-09-04T04:26:38.969563+00:00,New York City,0x71ec1252ec1bfb799810b5b760000ec3296623d857accbe620b45a3f1dfd7c7e,Will the lowest temperature in New York City be between 70-71°F on September 4?,True,False,2026-09-04,2026-09-02,204.62033899999997,204.620339,195.6551,,1788496502154,0.04,0.93,0.07,0.96,494.48,177.73,0.406442,0.972705,"{""Yes"": 0.06, ""No"": 0.94}","[""18158215624884496674858280635794673613810941962293817401572864308277661232470"", ""111264839017155001505269587657951406427346307621572574175214983845521434492805""]"
2026-09-04T04:26:38.969572+00:00,New York City,0x227e48e64d26aaad0c5e28e0dd32ae597334f658ff7fae30ce6468c21c0a1a66,Will the lowest temperature in New York City be between 72-73°F on September 4?,True,False,2026-09-04,2026-09-02,660.664666,660.664666,104.2943,,1788496517789,0.26,0.66,0.34,0.74,503.79,282.35,0.574355,0.885393,"{""Yes"": 0.3, ""No"": 0.7}","[""4652722766101175034128022203559732860022507275165850371099186875776320307572"", ""81877116327848030570675962299479832201536058156247245813751092999493418195066""]"
2026-09-04T04:26:38.969581+00:00,New York City,0x1ef262e292ca56ca393e4e931539b4311cb199c9b9d97cadaabb4c23763fd612,Will the lowest temperature in New York City be between 74-75°F on September 4?,True,False,2026-09-04,2026-09-02,749.482682,749.4826820000001,116.0797,,1788496507791,0.35,0.58,0.42,0.65,455.45,245.86,0.549869,0.785776,"{""Yes"": 0.385, ""No"": 0.615}","[""62930045442357077799708216002474726030676342023953455458909476031153115664177"", ""68663561862154832571961071282433131312070633795887947849505963276707477360858""]"
2026-09-04T04:26:38.969589+00:00,New York City,0x2787b95def5f0e3b526dad7a92834e1f95403a19775ffb3ff25c167a9beac223,Will the lowest temperature in New York City be between 76-77°F on September 4?,True,False,2026-09-04,2026-09-02,429.905609,429.905609,127.03,,1788496502154,0.25,0.68,0.32,0.75,536.84,321.85,0.58955,0.87154,"{""Yes"": 0.285, ""No"": 0.715}","[""95120981243857238788094696511673027560790240505219005939315807555489028989715"", ""110947694649947027246121947329487033197899527393156785149128390996824942870156""]"
2026-09-04T04:26:38.969597+00:00,New York City,0xd21ae0679c974eaf9ec23019664eca653dc44f1b38fa986803b2b77950892263,Will the lowest temperature in New York City be between 78-79°F on September 4?,True,False,2026-09-04,2026-09-02,249.277192,249.277192,114.27581,,1788496315065,0.024,0.896,0.104,0.976,2498.39,395.36,0.536975,0.981617,"{""Yes"": 0.064, ""No"": 0.936}","[""50988524441916533641514540454346127502552119137145942456072643469286700052030"", ""70588556675849989614681493856827469500027393889107797344148747712337590942023""]"
2026-09-04T04:26:38.969606+00:00,New York City,0x33c10adfd3c8601c98abba9afc3c91e1fea30f5bcffcf636d1f2d7ba4b853708,Will the lowest temperature in New York City be between 80-81°F on September 4?,True,False,2026-09-04,2026-09-02,75.18,75.18,685.30589,,1788496502155,0.001,0.998,0.002,0.999,3094.04,84.74,0.134316,,"{""Yes"": 0.0015, ""No"": 0.9985}","[""107602488743778527777718504410990932697930343141526801931167780115241792639683"", ""31819274591815615854729090732999903330426907223273713109180106501573449895853""]"
2026-09-04T04:26:38.969614+00:00,New York City,0x24205cc6426f3b9cce5a14de3b1359ccd2467306e193b2e380fff80cfa05aa79,Will the lowest temperature in New York City be 82°F or higher on September 4?,True,False,2026-09-04,2026-09-02,70.18,70.18,692.37457,,1788496503952,0.001,0.998,0.002,0.999,2507.99,84.74,0.159563,,"{""Yes"": 0.0015, ""No"": 0.9985}","[""92457065271397869470849480956047059564009226071710359566056040491338073156771"", ""12673454364816917984949418575600388596903588017370311689371150094733674005634""]"
2026-09-04T04:26:38.969623+00:00,New York City,0xee59bad9054de02b9c8288a5818d33f6a55df385209dae0baf05ee1518bc33af,Will the highest temperature in New York City be 73°F or below on September 4?,True,False,2026-09-04,2026-09-02,1493.829202,1413.839402,2334.93402,,1788496356576,0.001,0.996,0.004,0.999,17818.36,4.39,0.047566,,"{""Yes"": 0.0025, ""No"": 0.9975}","[""46032033476973917095457215081603264141481234279964531159658098031646692816415"", ""62855409714534251122981474002531039546689907077757663055296870322366865081891""]"
2026-09-04T04:26:38.969631+00:00,New York City,0xde8b3ac208ca2496dcc952d079a7ecd45809295cc6e1c219d9d0a8648b499c0b,Will the highest temperature in New York City be between 74-75°F on September 4?,True,False,2026-09-04,2026-09-02,592.586973,592.586973,1868.8086,,1788496396578,0.001,0.998,0.002,0.999,12663.87,2.71,0.051421,,"{""Yes"": 0.0015, ""No"": 0.9985}","[""26428930938030729810246779864587281068444526360080108054765413781271843866760"", ""63607107766936564277153384745620832311283482540625556282818932751524743871718""]"
2026-09-04T04:26:38.969640+00:00,New York City,0xfb60d9b7755bd065e3a88904c3b7b52fc01d91560e7b57f74cbe906e677c91e8,Will the highest temperature in New York City be between 76-77°F on September 4?,True,False,2026-09-04,2026-09-02,611.0508900000001,511.0508899999999,2809.66168,,1788496520778,0.001,0.995,0.005,0.999,16678.32,178.45,0.047087,0.999,"{""Yes"": 0.005, ""No"": 0.995}","[""41539127806300910490200981724741850851704946437603764577490788203217349878494"", ""2502613698496398389039555144142632240456290703006756235910346229658076039917""]"
2026-09-04T04:26:38.969648+00:00,New York City,0x76c5b4506dc2488822be2a87afe32b17b21d095fdf8f655dcb614005a6516c14,Will the highest temperature in New York City be between 78-79°F on September 4?,True,False,2026-09-04,2026-09-02,380.959384,380.959384,1220.7693,,1788496516583,0.001,0.99,0.01,0.999,7731.61,119.88,0.099692,0.999,"{""Yes"": 0.015, ""No"": 0.985}","[""76138834630831778276842800653129161338456893548661721989646383807725767223589"", ""43889444131665187952675254433374657929935246820359305325791893716081414536086""]"
