fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,outcome_probs_json,clob_token_ids_json,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100
2026-07-04T04:07:25.793142+00:00,Hong Kong,0x2d1a5f936c22500770ae891928f057928e26c2c4addbddded45524931890505c,Will the highest temperature in Hong Kong be 34°C or higher on July 5?,True,False,2026-07-05,2026-07-03,918.269,918.269,5523.39924,,"{""Yes"": 0.003, ""No"": 0.997}","[""28961895605746695993031809340613459362705380911821904278770576080543527059778"", ""59918834257220707527689112368669193056903902132317803869829273381770629423413""]",,,,,,,,,
2026-07-04T04:07:25.793215+00:00,Hong Kong,0xe262ccfac296ea02a86ddba0608b95e631b24624ebce7737a71c8cce3a02fc9e,Will the highest temperature in Hong Kong be 26°C on July 4?,True,False,2026-07-04,2026-07-02,9103.301364000004,6063.227703999998,7159.90129,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""58980106291392915317356340669278420561596599668246018507314801989314605515811"", ""79485467780869585431818572413187528175473596897701039116219083632453157689681""]",,,,,,,,,
2026-07-04T04:07:25.793249+00:00,Hong Kong,0xf1fa5cdb83770cd97d33b5192499ec75f670e8703db5727e6a9e07e0abac9a9d,Will the highest temperature in Hong Kong be 26°C on July 5?,True,False,2026-07-05,2026-07-03,902.465,902.465,10334.45649,,"{""Yes"": 0.0015, ""No"": 0.9985}","[""3842497439035649319580069770591369464041847573179755668391841906710652229951"", ""110226687309669026873018568570124683272713250858075128023992004770241562464689""]",,,,,,,,,
2026-07-04T04:07:25.793284+00:00,Hong Kong,0x3aeb857cc5b8fac549a1d93d089f16f714203699e2a68fb02454461997ed65d4,Will the lowest temperature in Hong Kong be 22°C or below on July 4?,True,False,2026-07-04,2026-07-02,797.7201,540.87,2619.83843,,"{""Yes"": 0.0025, ""No"": 0.9975}","[""96165261596849900954325527474515248465856277094884703034871859776716882762677"", ""84900670496362279091986222215172518602795622307007940384500235439922364306368""]",,,,,,,,,
2026-07-04T16:07:27.503528+00:00,Hong Kong,0xf3295d4c6f413ce886d78c8344312df2ab6dd0b8724293ea1696b0ca6a41a6f0,Will the highest temperature in Hong Kong be 28°C on July 6?,True,False,2026-07-06,2026-07-04,996.7505419999999,996.7505419999999,7253.88841,,"{""Yes"": 0.0305, ""No"": 0.9695}","[""33054032818414881178054781688771929109448570251845203315498720602263282727258"", ""106831615243481115283343924161122069117190019758204849194281093679568802411089""]",,,,,,,,,
2026-07-04T16:07:27.503623+00:00,Hong Kong,0x4576f3af53e58b6bee3b876c85f0bf555f908d9223c11953d035aa00daf303f6,Will the lowest temperature in Hong Kong be 25°C on July 5?,True,False,2026-07-05,2026-07-03,861.906888,820.52836,228.32871,,"{""Yes"": 0.0535, ""No"": 0.9465}","[""43784571172167531984561383536491761878464450993106767602978432436815052059949"", ""11254253920960887047573598657378067752855144389691255534416135243866201102094""]",,,,,,,,,
2026-07-04T16:07:27.503679+00:00,Hong Kong,0xa109bb4ed0670f06054ad6ad69541efad8b34bb11ac2ddbb7056f57ee97cc4a2,Will the highest temperature in Hong Kong be 34°C or higher on July 6?,True,False,2026-07-06,2026-07-04,859.80777,859.80777,2231.63398,,"{""Yes"": 0.03, ""No"": 0.97}","[""21287837347358398325505771213844101240440866441850793449424565412058363377766"", ""11564319195326639312966481496800413782519277379866865905431689908635295549367""]",,,,,,,,,
2026-07-04T16:07:27.503735+00:00,Hong Kong,0x72283533b1b8120e92ccde50766b1253afb3b9551a399d61964b5e3db554c9f4,Will the highest temperature in Hong Kong be 30°C on July 6?,True,False,2026-07-06,2026-07-04,795.666053,795.666053,7566.3976,,"{""Yes"": 0.185, ""No"": 0.815}","[""77082583978836262477640549154899597959273125867678967729151686633252287333195"", ""37699441539288105750483801788822538755014917252141563766572918198617505178322""]",,,,,,,,,
2026-07-04T16:07:27.503795+00:00,Hong Kong,0x4718fe48d56340bc9f19a64602942cd81e432ca14a67fede0a852610cb5ec780,Will the highest temperature in Hong Kong be 24°C or below on July 5?,True,False,2026-07-05,2026-07-03,7939.545882000003,5432.290681,8055.18206,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""76747069448045935545702964210715765299150467109866903162588242267841706582555"", ""104201833661192247001235984196557869093870919041577886450792432960786363519646""]",,,,,,,,,
2026-07-04T16:07:27.503856+00:00,Hong Kong,0x203e827d0577c7a85316e27a4864889dad963e29c58256075ec0a219b7a06036,Will the lowest temperature in Hong Kong be 27°C on July 4?,True,False,2026-07-04,2026-07-02,7920.538471000003,5854.098352,894.14129,,"{""Yes"": 0.9965, ""No"": 0.0035}","[""98480373545071744487745569622746045242133686477730826018929599163523370925326"", ""42090511877405437272760038521307725239160168565366925268876474948985310034495""]",,,,,,,,,
2026-07-04T20:07:37.521393+00:00,Hong Kong,0xfc7af3ddde042f9c35edde91d31e9642fe6544c6ab7c98a0b42fc131b03dc594,Will the lowest temperature in Hong Kong be 24°C on July 6?,True,False,2026-07-06,2026-07-04,988.9520190000001,988.9520190000001,2779.90483,,"{""Yes"": 0.014, ""No"": 0.986}","[""40868437463922231277923280904064723421894462954604176435191397943294741625732"", ""94496589616910905085165507450830006377884254131918607310816554294520242370883""]",,,,,,,,,
2026-07-04T20:07:37.521507+00:00,Hong Kong,0xa109bb4ed0670f06054ad6ad69541efad8b34bb11ac2ddbb7056f57ee97cc4a2,Will the highest temperature in Hong Kong be 34°C or higher on July 6?,True,False,2026-07-06,2026-07-04,973.248479,973.248479,4193.45507,,"{""Yes"": 0.0085, ""No"": 0.9915}","[""21287837347358398325505771213844101240440866441850793449424565412058363377766"", ""11564319195326639312966481496800413782519277379866865905431689908635295549367""]",,,,,,,,,
2026-07-04T20:07:37.521582+00:00,Hong Kong,0x72283533b1b8120e92ccde50766b1253afb3b9551a399d61964b5e3db554c9f4,Will the highest temperature in Hong Kong be 30°C on July 6?,True,False,2026-07-06,2026-07-04,937.5974360000001,937.597436,6046.6659,,"{""Yes"": 0.2, ""No"": 0.8}","[""77082583978836262477640549154899597959273125867678967729151686633252287333195"", ""37699441539288105750483801788822538755014917252141563766572918198617505178322""]",,,,,,,,,
2026-07-04T20:07:37.521649+00:00,Hong Kong,0xc35712be118b04df6a52c6285287a7d5bf22788f6f41ad6cd40d7a0f6fc48ad2,Will the highest temperature in Hong Kong be 26°C on July 6?,True,False,2026-07-06,2026-07-04,909.4289139999998,909.428914,8534.69313,,"{""Yes"": 0.0035, ""No"": 0.9965}","[""32171820316406162613375886367187744371530440707146626725733115464732164732393"", ""13234669250247125286160791448423287856680631432292333850692258556462275747035""]",,,,,,,,,
2026-07-04T20:07:37.521706+00:00,Hong Kong,0x203e827d0577c7a85316e27a4864889dad963e29c58256075ec0a219b7a06036,Will the lowest temperature in Hong Kong be 27°C on July 4?,True,False,2026-07-04,2026-07-02,9013.008471000003,6723.700309,3873.20407,,"{""Yes"": 0.9985, ""No"": 0.0015}","[""98480373545071744487745569622746045242133686477730826018929599163523370925326"", ""42090511877405437272760038521307725239160168565366925268876474948985310034495""]",,,,,,,,,
2026-07-04T20:07:37.521767+00:00,Hong Kong,0xabd521684d8269bc21e2d312148eb804ec262a8d7f4c1886f6b8a990166e7c5d,Will the lowest temperature in Hong Kong be 23°C on July 5?,True,False,2026-07-05,2026-07-03,888.0404,380.84999999999997,3186.0519,,"{""Yes"": 0.0035, ""No"": 0.9965}","[""7890490522691089659999406713704139657222087321440422009174092718148873784418"", ""17278556150016009620640580055992090562360880522694988125787317228918865445422""]",,,,,,,,,
