fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,outcome_probs_json,clob_token_ids_json,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100
2026-08-11T07:38:49.800543+00:00,London,0xc3551ff8b03f6a72c27874be24af00f1478c1539afc8e11322966043b2882a03,Will the lowest temperature in London be 21°C on August 12?,True,False,2026-08-12,2026-08-10,69.00019999999999,55.9898,2990.07209,,"{""Yes"": 0.005, ""No"": 0.995}","[""99957477035987935206713224296969044942889521151240561856106549672197028282331"", ""38807465416118502734834756272407551744855057145741717625322527311174022717986""]",1786434193280,0.001,0.991,0.009,0.999,24269.3,215.78,0.077013,0.999
2026-08-11T07:38:49.800552+00:00,London,0xdd297d38dfe2369afe947fef6f37645996e1f107b8e492e2e849f842d55c27cc,Will the lowest temperature in London be 22°C or higher on August 12?,True,False,2026-08-12,2026-08-10,51.0,51.0,2735.31797,,"{""Yes"": 0.0035, ""No"": 0.9965}","[""27853227088790481199053865620089020803020399622062478203864542076671512700078"", ""70014778160571964087665762827067187825948395617422661882784389873737701088432""]",1786434193291,0.001,0.994,0.006,0.999,19602.29,215.78,0.060615,0.999
2026-08-11T07:38:49.800562+00:00,London,0x9fe45f40521eaca8ba288193c6ded366118f34365e9218a47fd4da8f96d93875,Will the lowest temperature in London be 14°C or below on August 13?,True,False,2026-08-13,2026-08-11,12.0,12.0,304.8702,,"{""Yes"": 0.015, ""No"": 0.985}","[""63534555221243132452046973074259089550936812515180447553463923593106818205142"", ""106495170845615484246551774391867084440204617201854370432854368911756836796861""]",1786434211033,,0.97,0.03,,2111.98,0.0,0.29649,
2026-08-11T07:38:49.800572+00:00,London,0x6afab1064e24a54f7bcf34b06e7047400de5727d21b0211db04d4ca0bb128579,Will the lowest temperature in London be 15°C on August 13?,True,False,2026-08-13,2026-08-11,12.0,12.0,1222.2368,,"{""Yes"": 0.035, ""No"": 0.965}","[""92754649830419078275597772547363984223819038077348827230303280724642672451365"", ""21568681471732971812046897733862140702541568560984257207221402381605730203393""]",1786434159817,,0.93,0.07,,14032.19,0.0,0.22866,
2026-08-11T07:38:49.800582+00:00,London,0xa2c3b47a488f23c2c8750e2ef05479939092050620e7f4b4644e2debb852bc6f,Will the lowest temperature in London be 16°C on August 13?,True,False,2026-08-13,2026-08-11,34.040800000000004,34.040800000000004,1169.6804,,"{""Yes"": 0.05, ""No"": 0.95}","[""110316094578315540900740065633187220237640170233972365862589901750404391608207"", ""96663690066510943965977282831468887981022298736832867328247490105970866796704""]",1786434161722,,0.9,0.1,,12197.67,0.0,0.250849,
2026-08-11T07:38:49.800606+00:00,London,0x65c1b3c704891704bacf3e7cd21814cf5b94020d064953a133e3c5c959064be0,Will the lowest temperature in London be 17°C on August 13?,True,False,2026-08-13,2026-08-11,80.18381600000001,80.18381600000001,864.3064,,"{""Yes"": 0.09, ""No"": 0.91}","[""57497149775375808215063613286467043490354621165841646553908223128340112963699"", ""89516702255219112318737599033471099790903515157697408189515144651365965970528""]",1786434107375,0.04,0.86,0.14,0.96,12189.79,438.52,0.411579,0.97249
2026-08-11T07:38:49.800616+00:00,London,0x049b25bcf9a63d9f677c7db238b9a8ec880f615bc71583d3b0a6af6867dadab8,Will the lowest temperature in London be 18°C on August 13?,True,False,2026-08-13,2026-08-11,71.87293299999999,71.87293299999999,1178.3473,,"{""Yes"": 0.175, ""No"": 0.825}","[""37939806696863571694275922047497032253821276502739968578019759144950447705502"", ""32040561311819751416940321357828717828226117287544583221829343087434678263538""]",1786434098616,0.14,0.82,0.18,0.86,12298.78,1691.34,0.298858,0.870408
2026-08-11T07:38:49.800626+00:00,London,0x64e41df1510a8126a4cf205af09b5a267acdd91683ae32220ef0358d453a8ece,Will the lowest temperature in London be 19°C on August 13?,True,False,2026-08-13,2026-08-11,79.16222099999999,79.162221,1037.6301,,"{""Yes"": 0.33, ""No"": 0.67}","[""23471589214362822412199713635414932389104383811865018481451979324477331626441"", ""4293856860262556628692741590425743829300483955574023209167484116948899095914""]",1786434088079,0.32,0.64,0.36,0.68,12686.53,2278.29,0.416356,0.710429
2026-08-11T07:38:49.800635+00:00,London,0x03948ebde3118b7d1d1f135b2fb69644cd69a801e0e81712c3624068f1224c94,Will the lowest temperature in London be 20°C on August 13?,True,False,2026-08-13,2026-08-11,1192.298993,1192.298993,982.1654,,"{""Yes"": 0.29, ""No"": 0.71}","[""1050218673284429955921535973056367019225240031579480485177034626425337946196"", ""21513601062035686667332273510021558368951245705186881406191808858249395307444""]",1786434159849,0.2,0.56,0.44,0.8,12624.76,2586.19,0.509327,0.80397
2026-08-11T07:38:49.800645+00:00,London,0x1e95eca5412a6d4526d56c46eb759cda5640418aded8675e2d8e78d7a09775d0,Will the lowest temperature in London be 21°C on August 13?,True,False,2026-08-13,2026-08-11,157.189757,157.189757,951.9235,,"{""Yes"": 0.12, ""No"": 0.88}","[""8614794954006929376055448578552165468908888924716955780364855534777600965593"", ""104444176034219937546579352437690936167125339390428170672326381904143430049267""]",1786433997926,0.08,0.84,0.16,0.92,12254.69,1829.89,0.35083,0.936403
