fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,outcome_probs_json,clob_token_ids_json,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100
2026-05-30T09:53:38.111395+00:00,Chicago,0x76843d3356f466b80ca80320fbc275d77ed02138d32e62d3c4707905d8fd8cc3,Will the highest temperature in Chicago be between 50-51°F on May 31?,True,False,2026-05-31,2026-05-29,996.3650190000001,559.215019,10586.63965,,"{""Yes"": 0.0015, ""No"": 0.9985}",[],,,,,,,,,
2026-05-30T09:53:38.111419+00:00,Chicago,0x055ee3ff81340525e9f144145f7689509b0764da5ffb2e6ece7d2a0f79e65d18,Will the highest temperature in Chicago be between 52-53°F on May 31?,True,False,2026-05-31,2026-05-29,996.3650190000001,559.215019,10579.18111,,"{""Yes"": 0.0015, ""No"": 0.9985}",[],,,,,,,,,
2026-05-30T09:53:38.111433+00:00,Chicago,0x4b5a2cc1d5ff18274161a042f0d5232a6020eb723fd2deb018f69a25d5dbdd66,Will the highest temperature in Chicago be between 74-75°F on June 1?,True,False,2026-06-01,2026-05-30,83.625361,83.625361,1059.8287,,"{""Yes"": 0.27, ""No"": 0.73}",[],,,,,,,,,
2026-05-30T09:53:38.111447+00:00,Chicago,0xd97a9f0dac26ffd57bac8d94e0c7dd6f129f4b673970cdd7df076d0e98a8ad0f,Will the highest temperature in Chicago be between 70-71°F on June 1?,True,False,2026-06-01,2026-05-30,81.27200400000001,81.27200400000001,1487.9101,,"{""Yes"": 0.12, ""No"": 0.88}",[],,,,,,,,,
2026-05-30T09:53:38.111460+00:00,Chicago,0x50ea4b2319280217d294a864005c5dbeed6502ea4a4482ba7622cce541359946,Will the highest temperature in Chicago be 47°F or below on May 31?,True,False,2026-05-31,2026-05-29,783.841,638.691,10446.07223,,"{""Yes"": 0.002, ""No"": 0.998}",[],,,,,,,,,
2026-05-30T10:29:59.316787+00:00,Chicago,0x76843d3356f466b80ca80320fbc275d77ed02138d32e62d3c4707905d8fd8cc3,Will the highest temperature in Chicago be between 50-51°F on May 31?,True,False,2026-05-31,2026-05-29,996.3650190000001,24.98,10873.84486,,"{""Yes"": 0.0005, ""No"": 0.9995}",[],,,,,,,,,
2026-05-30T10:29:59.316811+00:00,Chicago,0x055ee3ff81340525e9f144145f7689509b0764da5ffb2e6ece7d2a0f79e65d18,Will the highest temperature in Chicago be between 52-53°F on May 31?,True,False,2026-05-31,2026-05-29,996.3650190000001,24.98,10881.30325,,"{""Yes"": 0.0005, ""No"": 0.9995}",[],,,,,,,,,
2026-05-30T10:29:59.316826+00:00,Chicago,0xd97a9f0dac26ffd57bac8d94e0c7dd6f129f4b673970cdd7df076d0e98a8ad0f,Will the highest temperature in Chicago be between 70-71°F on June 1?,True,False,2026-06-01,2026-05-30,81.27200400000001,81.27200400000001,1387.5796,,"{""Yes"": 0.12, ""No"": 0.88}",[],,,,,,,,,
2026-05-30T10:29:59.316839+00:00,Chicago,0x50ea4b2319280217d294a864005c5dbeed6502ea4a4482ba7622cce541359946,Will the highest temperature in Chicago be 47°F or below on May 31?,True,False,2026-05-31,2026-05-29,783.841,337.841,10797.18079,,"{""Yes"": 0.002, ""No"": 0.998}",[],,,,,,,,,
